ОРИГИНАЛ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,ПОСТАВЩИК,Unnamed: 13,Unnamed: 14,ПОСТАВЩИК.1,Unnamed: 16,Unnamed: 17,ПОСТАВЩИК.2,Unnamed: 19,Unnamed: 20,ПОСТАВЩИК.3,Unnamed: 22,Unnamed: 23,ПОСТАВЩИК.4,Unnamed: 25,Unnamed: 26,ПОСТАВЩИК.5,Unnamed: 28,Unnamed: 29,ПОСТАВЩИК.6,Unnamed: 31,Unnamed: 32,ПОСТАВЩИК.7,Unnamed: 34,Unnamed: 35,ПОСТАВЩИК.8,Unnamed: 37,Unnamed: 38,ПОСТАВЩИК.9,Unnamed: 40,Unnamed: 41,ПОСТАВЩИК.10,Unnamed: 43,Unnamed: 44,ПОСТАВЩИК.11,Unnamed: 46,Unnamed: 47,ПОСТАВЩИК.12,Unnamed: 49,Unnamed: 50,ПОСТАВЩИК.13,Unnamed: 52,Unnamed: 53,ПОСТАВЩИК.14,Unnamed: 55,Unnamed: 56,ПОСТАВЩИК.15,Unnamed: 58,Unnamed: 59,ПОСТАВЩИК.16,Unnamed: 61,Unnamed: 62,ПОСТАВЩИК.17,Unnamed: 64,Unnamed: 65,ПОСТАВЩИК.18,Unnamed: 67,Unnamed: 68,ПОСТАВЩИК.19,Unnamed: 70,Unnamed: 71,ПОСТАВЩИК.20,Unnamed: 73,Unnamed: 74
,,Burckhardt,,Crankshaft / Вал,,,1.6582-EN 10083 (34CrNiMo6),,224802.60.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qingdao,14112,,,,,,,,,,,,,,,,,,,
,,Burckhardt,,Cylinder liner / Гильза,,,L-NiSiCr20-5-3 ISO 2862-1973 ,,224802.40.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qingdao,14000,,,,,,,,,,,,,,,,,,,
,,Burckhardt,,Hydraulic nut / Гидравлическая гайка,,,1.7225-EN 10083 (42CrMo4),,224802.62.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qingdao,2592,,,,,,,,,,,,,,,,,,,
,,DNL,,Backplate / Задняя панель,,,C15 EN 10277-2:2008,,231601.10.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qingdao,120,,,,,,,,,,,,,,,,,,,
,,DNL,,Casing / Корпус,,,A536 80-55-06,,231601.10.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qingdao,152000,,,,,,,,,,,,,,,,,,,
,,DNL,,Cylinder cover / Крышка цилиндра,,,C15 EN 10277-2:2008,,231601.10.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qingdao,710,,,,,,,,,,,,,,,,,,,
,,DNL,,Cylinder cover / Крышка цилиндра,,,C15 EN 10277-2:2008,,231601.10.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qingdao,360,,,,,,,,,,,,,,,,,,,
,,DNL,,Cylinder cover bottom / Нижняя крышка цилиндра,,,A536 80-55-06,,231601.10.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qingdao,37600,,,,,,,,,,,,,,,,,,,
,,DNL,,Cylinder cover flange / Фланец крышки цилиндра,,,C15 EN 10277-2:2008,,231601.10.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qingdao,650,,,,,,,,,,,,,,,,,,,
,,DNL,,Cylinder cover flange / Фланец крышки цилиндра,,,C15 EN 10277-2:2008,,231601.10.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qingdao,620,,,,,,,,,,,,,,,,,,,
